respondent_id,has_seen_any_star_wars_film,has_seen_any_star_wars_film_binary,is_star_wars_fan,is_star_wars_fan_binary,fan_segment,total_movies_seen,movie_consumption_segment,has_complete_movie_ranking,which_character_shot_first,is_familiar_with_expanded_universe,is_familiar_with_expanded_universe_binary,is_expanded_universe_fan,is_expanded_universe_fan_binary,is_star_trek_fan,is_star_trek_fan_binary,gender,age,household_income,education,location_census_region,has_demographic_info,average_character_opinion_score,audience_type,audience_type_order
3291696391.0,yes,1,yes,1.0,fan,5,high_consumption,1,han,yes,1.0,no,0.0,no,0.0,male,30-44,"$100,000 - $149,999",bachelor degree,west north central,1,1.1428571428571428,Jedi fiel,1
3291684768.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,no,0.0,male,30-44,"$100,000 - $149,999",graduate degree,east north central,1,0.5714285714285714,Jedi fiel,1
3291669388.0,yes,1,,,unknown,0,no_movies_seen,0,,,,,,,,,,,,,0,,Territorio neutral,4
3291661584.0,yes,1,no,0.0,not_fan,2,low_consumption,1,i don't understand this question,no,0.0,,,no,0.0,male,> 60,"$50,000 - $99,999",some college or associate degree,south atlantic,1,0.7272727272727273,Explorador casual,3
3291658046.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,yes,1.0,male,30-44,,graduate degree,south atlantic,1,1.0,Jedi fiel,1
3291654919.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,yes,1.0,male,> 60,"$50,000 - $99,999",graduate degree,east north central,1,0.7857142857142857,Jedi fiel,1
3291653882.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,male,18-29,"$50,000 - $99,999",some college or associate degree,east north central,1,,Territorio neutral,4
3291650311.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,yes,1.0,male,30-44,"$25,000 - $49,999",some college or associate degree,east north central,1,1.5,Jedi fiel,1
3291649780.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,,,,,,0,,Territorio neutral,4
3291648660.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,male,> 60,,,west north central,1,,Territorio neutral,4
3291641416.0,yes,1,no,0.0,not_fan,5,high_consumption,1,greedo,yes,1.0,no,0.0,yes,1.0,male,> 60,"$100,000 - $149,999",graduate degree,east north central,1,0.4615384615384615,Explorador casual,3
